"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB"
"Z";"06.09.2026";"20:25:21";57;47;"GEM";"15001000";"Dessau-Roßlau, Stadt";"U";47985;27127;314;26813;4151;12335;2063;2338;760;2318;230;25;335;129;71;147;1769;34;108;390;26737;6533;13133;2690;2027;1106;862;274;;;;;112;;;;
"Z";"06.09.2026";"20:20:18";22;18;"GEM";"15001000";"Dessau-Roßlau, Stadt";"B";0;10635;71;10564;2814;2233;1063;1426;407;1509;126;15;116;51;27;49;679;17;32;143;10492;4301;2315;1367;1046;638;634;136;;;;;55;;;;
"Z";"06.09.2026";"20:25:21";79;65;"GEM";"15001000";"Dessau-Roßlau, Stadt";"";47985;37762;385;37377;6965;14568;3126;3764;1167;3827;356;40;451;180;98;196;2448;51;140;533;37229;10834;15448;4057;3073;1744;1496;410;;;;;167;;;;
"Z";"06.09.2026";"20:20:34";126;75;"GEM";"15002000";"Halle (Saale), Stadt";"U";96889;49739;471;49268;5951;16937;5313;5381;1358;10142;354;74;506;170;170;252;2401;70;189;541;49198;8547;17067;12063;4121;1531;3434;245;;;;;;2056;;;134
"Z";"06.09.2026";"20:20:35";60;36;"GEM";"15002000";"Halle (Saale), Stadt";"B";0;24033;108;23925;4154;3505;3255;3901;759;6396;211;38;184;104;74;83;1137;41;83;146;23887;5752;3418;7797;2610;919;2016;190;;;;;;1127;;;58
"Z";"06.09.2026";"20:20:35";186;111;"GEM";"15002000";"Halle (Saale), Stadt";"";96889;73772;579;73193;10105;20442;8568;9282;2117;16538;565;112;690;274;244;335;3538;111;272;687;73085;14299;20485;19860;6731;2450;5450;435;;;;;;3183;;;192
"Z";"06.09.2026";"20:31:56";148;124;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"U";142584;70931;662;70269;8929;29016;6785;6971;1766;10083;360;112;622;972;199;587;3431;107;329;665;70266;15136;29358;11337;5063;1659;2666;;;1358;;512;;2940;;237;
"Z";"06.09.2026";"20:28:23";70;58;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"B";0;41033;154;40879;8319;7248;5251;6431;1483;7921;259;52;327;527;127;347;2279;85;223;215;40818;13297;7085;8514;4302;1511;2536;;;969;;346;;2051;;207;
"Z";"06.09.2026";"20:31:56";218;182;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"";142584;111964;816;111148;17248;36264;12036;13402;3249;18004;619;164;949;1499;326;934;5710;192;552;880;111084;28433;36443;19851;9365;3170;5202;;;2327;;858;;4991;;444;
"V";"06.09.2026";"19:03:27";3;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"U";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;
"L";;;1;0;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
